Study_Hours,Attendance,Sleep_Hours,Internet_Use_Hrs,Grade
2.8,59,8.0,4.3,C
6.5,92,8.4,3.0,B
7.1,53,6.5,4.1,B
8.2,50,8.2,1.0,B
7.5,91,5.4,4.2,A
4.7,76,6.4,0.7,C
2.7,96,4.9,0.8,C
5.9,69,6.9,0.2,B
3.1,71,4.9,3.1,C
2.9,69,9.0,3.0,C
5.0,98,7.5,1.9,C
9.4,72,5.8,1.9,B
5.7,89,4.9,3.6,B
0.2,50,7.7,0.8,C
4.3,82,8.4,1.7,C
0.0,53,5.4,2.3,C
4.2,87,5.0,4.9,C
8.7,55,4.0,4.6,B
2.5,71,6.7,3.4,C
7.9,87,6.3,3.6,A
1.1,62,5.7,1.5,C
7.7,98,8.4,2.1,A
2.2,74,7.3,1.9,C
8.8,67,4.8,3.4,B
6.5,54,7.3,3.6,B
7.7,99,6.9,4.5,A
4.0,53,7.9,4.0,C
5.9,82,6.6,2.8,B
8.2,60,8.0,3.1,B
1.6,96,4.1,1.3,C
8.4,68,5.9,1.5,B
6.8,58,6.1,5.0,B
2.9,92,5.7,0.2,C
4.4,100,6.3,2.1,C
9.2,69,5.6,2.7,B
4.8,97,5.8,0.9,C
9.3,98,6.4,0.1,A
4.5,86,5.4,4.3,C
4.0,79,6.3,4.4,C
4.2,83,5.9,2.5,C
5.6,57,6.3,0.2,B
6.8,95,5.0,1.8,B
0.7,79,6.0,2.3,C
9.1,99,7.5,1.4,A
5.4,69,4.4,2.4,B
0.3,74,5.8,1.0,C
7.8,88,5.3,1.0,A
0.5,54,7.7,4.2,C
6.9,88,6.4,3.2,B
9.8,72,5.8,0.3,B
1.7,54,4.9,1.9,C
7.4,76,4.4,1.1,B
8.6,97,8.8,3.1,A
3.5,64,5.0,4.2,C
7.2,83,6.5,1.6,A
2.6,90,6.3,4.0,C
5.0,78,8.3,0.5,C
5.9,93,7.7,4.2,B
3.4,99,5.5,2.5,C
7.4,87,4.9,4.2,A
7.2,58,6.7,2.8,B
4.8,69,8.7,1.3,C
2.3,59,5.1,2.7,C
4.2,95,6.1,3.6,C
0.4,87,4.8,1.5,C
2.8,69,4.8,3.5,C
2.0,95,8.1,2.6,C
8.3,81,4.7,4.0,A
5.4,65,6.0,0.4,B
8.6,100,5.3,2.1,A
6.2,85,6.3,1.5,B
5.2,82,5.2,1.3,B
0.1,92,6.7,2.2,C
3.4,73,4.8,2.9,C
3.4,91,5.4,0.2,C
7.0,50,6.9,0.2,B
0.8,95,5.1,4.8,C
2.6,92,8.9,2.3,C
6.1,87,5.1,4.7,B
2.8,57,6.0,3.2,C
2.2,59,7.0,4.4,C
2.6,78,6.5,3.5,C
2.0,95,7.7,1.8,C
5.7,97,7.8,0.5,B
8.9,73,7.2,3.9,B
4.2,66,5.8,0.9,C
1.5,99,6.0,2.2,C
6.9,80,8.2,4.3,B
3.4,52,6.5,2.0,C
8.8,85,8.7,0.9,A
4.3,72,7.6,4.6,C
9.7,86,4.7,3.1,A
7.2,81,4.6,3.7,A
7.5,97,5.3,3.5,A
2.4,53,4.2,4.7,C
8.8,94,6.4,1.7,A
2.6,83,6.2,3.0,C
9.8,87,7.7,2.1,A
9.5,63,7.7,5.0,B
9.2,60,8.6,0.6,B
7.5,55,8.6,0.9,B
7.4,56,7.7,3.9,B
1.7,53,8.1,2.2,C
8.9,59,4.9,0.8,B
1.5,67,8.6,0.2,C
9.5,54,4.6,0.6,B
4.9,65,8.4,0.2,C
1.0,86,6.2,0.2,C
1.7,56,7.6,0.5,C
9.9,77,6.1,0.8,B
0.9,58,8.1,2.6,C
9.2,76,6.0,2.0,B
6.2,85,5.7,0.4,B
0.8,86,7.0,3.5,C
9.1,72,7.5,2.4,B
7.0,70,6.5,0.7,B
9.0,51,5.0,3.3,B
8.4,67,6.9,0.4,B
4.4,91,6.2,4.5,C
1.1,52,6.8,0.2,C
9.9,73,6.4,2.2,B
7.3,78,6.5,2.3,B
5.1,61,7.7,4.1,B
6.1,53,4.8,3.0,B
2.5,97,5.2,0.1,C
9.8,89,5.8,1.2,A
9.3,52,6.1,2.2,B
4.4,95,6.7,3.0,C
2.5,66,6.9,1.8,C
1.9,74,4.2,0.6,C
6.5,65,7.7,3.4,B
5.4,75,6.6,3.6,B
4.1,87,6.7,1.6,C
6.7,57,8.6,3.7,B
3.0,54,4.9,0.8,C
3.8,78,5.1,2.5,C
8.1,65,8.7,4.2,B
4.9,95,6.0,1.4,C
2.7,57,5.9,2.9,C
6.7,72,5.3,0.4,B
9.8,76,5.1,1.1,B
1.4,78,5.7,0.6,C
6.6,81,7.9,0.6,B
9.3,74,6.9,2.6,B
0.2,98,5.3,1.9,C
9.5,50,7.3,2.9,B
7.5,86,5.9,1.8,A
0.2,80,6.1,1.0,C
2.7,71,6.5,4.4,C
3.1,98,6.8,2.1,C
4.0,85,5.7,2.7,C
1.3,73,4.6,0.8,C
7.8,97,7.7,3.9,A
9.0,59,6.3,4.8,B
7.1,68,8.5,0.1,B
0.3,87,8.1,2.7,C
3.9,87,6.5,1.3,C
8.5,94,7.5,1.2,A
5.2,55,6.3,1.3,B
3.7,51,4.7,1.1,C
3.2,72,6.9,3.8,C
8.3,52,6.6,3.3,B
3.7,88,8.0,2.6,C
5.4,76,4.3,4.8,B
3.0,55,7.1,2.6,C
2.5,83,7.3,0.2,C
4.2,86,5.5,0.5,C
5.7,86,8.1,4.2,B
1.3,100,7.9,0.2,C
3.7,95,5.4,4.2,C
9.3,81,6.5,0.1,A
1.7,61,6.9,4.0,C
8.5,99,6.3,3.6,A
0.6,64,4.3,3.4,C
5.8,84,4.0,0.9,B
9.5,83,4.8,3.8,A
0.5,67,5.8,3.3,C
5.3,72,5.2,4.8,B
9.6,53,4.5,3.3,B
6.4,51,9.0,2.2,B
7.2,79,5.1,4.0,B
3.0,80,5.1,4.4,C
5.7,58,6.5,3.1,B
3.8,64,8.0,1.6,C
1.4,81,4.3,0.7,C
3.3,92,8.7,3.1,C
3.1,69,5.5,2.4,C
3.7,83,4.6,4.7,C
6.2,98,5.1,3.1,B
9.5,52,6.6,2.2,B
5.7,73,4.0,0.8,B
6.6,86,8.8,1.2,B
7.0,79,4.9,4.4,B
1.6,78,6.7,4.2,C
9.7,51,8.4,4.3,B
3.8,80,8.7,0.8,C
1.1,67,8.1,3.8,C
9.6,86,8.1,3.6,A
7.9,85,8.7,1.8,A
2.6,68,9.0,2.7,C
3.0,75,4.4,2.4,C
9.4,80,5.4,4.8,B
1.4,65,5.1,0.8,C
4.8,96,7.0,1.2,C
3.0,86,5.1,1.3,C
9.6,95,7.8,5.0,A
5.2,71,7.6,2.4,B
9.9,56,4.9,4.5,B
6.9,91,6.6,4.9,B
7.8,75,8.0,0.3,B
4.8,64,7.2,0.8,C
3.4,84,8.1,0.6,C
3.3,78,5.0,3.5,C
8.3,91,8.1,2.3,A
7.9,62,6.5,1.1,B
5.1,53,5.6,3.8,B
7.2,70,6.6,2.8,B
3.5,76,4.7,4.1,C
4.3,85,7.7,3.5,C
4.7,74,8.3,2.2,C
6.8,78,4.3,0.8,B
4.3,67,5.0,4.5,C
6.8,56,8.8,3.4,B
0.5,99,7.3,0.5,C
4.9,54,6.8,1.1,C
8.9,98,8.4,0.2,A
0.4,83,5.0,2.5,C
3.8,82,8.7,4.7,C
1.0,65,4.2,4.9,C
2.1,77,8.6,1.6,C
0.5,53,8.0,1.8,C
0.8,78,8.0,0.2,C
7.9,94,6.6,4.1,A
9.4,54,7.9,4.5,B
7.4,79,6.8,3.4,B
6.5,58,6.4,3.6,B
7.2,87,6.6,2.3,A
9.9,89,4.3,1.2,A
9.6,70,6.2,4.5,B
4.9,76,6.3,0.2,C
6.8,83,5.3,4.3,B
3.7,74,5.5,1.1,C
0.6,52,5.8,1.6,C
7.8,96,5.3,2.5,A
3.1,58,5.2,3.8,C
6.0,59,4.2,2.4,B
3.9,93,5.1,3.5,C
6.9,92,4.1,0.7,B
3.9,61,4.7,4.8,C
7.1,79,8.4,3.8,B
2.0,71,8.4,4.0,C
0.7,62,8.1,0.7,C
4.5,63,6.0,3.0,C
9.7,93,8.7,0.4,A
0.5,91,4.2,0.3,C
9.9,56,7.1,3.1,B
3.1,66,7.7,0.1,C
9.3,66,8.8,3.3,B
6.8,68,4.1,1.8,B
1.8,97,5.6,0.3,C
6.9,83,7.4,0.1,B
1.6,80,8.6,2.5,C
3.3,56,7.3,3.5,C
9.7,62,4.1,1.1,B
6.9,77,5.6,4.1,B
0.4,70,4.7,3.3,C
8.9,80,8.9,2.4,B
1.8,81,5.0,2.6,C
9.5,93,8.5,0.1,A
6.5,97,7.0,1.1,B
3.2,51,8.6,3.0,C
7.7,52,5.7,1.2,B
7.6,66,7.6,2.3,B
9.7,80,6.2,1.7,B
9.8,58,6.6,4.3,B
1.4,64,6.2,2.8,C
2.9,70,7.5,2.2,C
2.0,85,6.8,2.4,C
8.5,77,8.8,2.4,B
1.5,57,8.2,1.7,C
1.8,77,4.3,2.1,C
8.1,73,8.2,4.5,B
1.3,61,4.4,3.6,C
9.9,85,6.1,1.0,A
5.4,62,8.2,1.3,B
1.4,53,4.6,1.5,C
9.3,88,6.4,3.5,A
5.9,92,4.1,3.3,B
1.9,53,6.1,2.5,C
7.5,53,8.6,4.8,B
3.4,64,5.7,3.5,C
7.9,54,6.5,4.0,B
2.9,67,4.8,4.9,C
0.9,90,5.8,3.3,C
3.4,59,4.8,3.1,C
6.5,50,5.2,4.6,B
0.0,96,7.6,0.2,C
2.5,89,4.9,4.4,C
8.7,67,8.1,0.6,B
9.7,61,5.7,3.3,B
5.4,54,5.0,1.4,B
2.5,72,6.1,0.9,C
9.3,52,6.7,2.4,B
9.0,87,8.6,3.7,A
0.8,91,5.0,1.0,C
3.5,59,8.9,1.4,C
7.0,73,4.4,0.0,B
6.8,51,8.2,4.6,B
8.2,73,4.8,0.9,B
1.9,70,5.2,4.2,C
8.4,96,4.8,2.1,A
7.0,82,6.0,3.6,B
1.6,66,4.8,2.3,C
1.4,63,7.1,3.2,C
0.6,84,7.9,4.5,C
6.9,64,6.7,3.4,B
9.0,61,5.0,2.1,B
0.5,88,8.1,1.1,C
7.4,73,7.5,2.5,B
8.8,70,6.9,2.1,B
9.5,75,5.8,2.7,B
3.8,61,5.0,1.9,C
7.7,78,7.3,0.3,B
6.5,52,8.4,3.3,B
5.0,91,7.5,4.4,C
9.6,79,8.8,2.2,B
6.6,80,8.8,3.8,B
6.1,61,7.3,4.1,B
4.0,59,8.2,3.7,C
4.9,57,8.0,3.8,C
7.0,78,5.6,3.5,B
9.5,100,8.5,3.3,A
1.5,50,5.4,3.6,C
5.1,93,6.1,4.6,B
8.4,57,5.7,2.2,B
1.8,96,6.8,0.1,C
8.5,83,8.5,0.0,A
7.2,56,4.2,0.6,B
6.2,61,5.6,4.4,B
7.0,74,6.0,1.8,B
9.6,68,6.4,1.6,B
5.1,55,6.3,4.6,B
7.5,67,8.6,4.5,B
4.1,79,8.0,1.4,C
7.3,86,7.5,2.0,A
3.7,58,5.4,4.9,C
8.2,91,8.2,2.8,A
0.5,91,5.1,0.9,C
1.5,86,6.6,2.6,C
1.8,94,4.9,2.7,C
2.5,70,7.4,0.8,C
4.6,56,6.2,1.9,C
2.3,86,7.4,2.4,C
9.1,64,8.0,1.3,B
4.4,78,4.4,3.4,C
8.7,62,5.9,4.8,B
5.5,90,7.2,3.6,B
3.3,52,7.7,3.2,C
4.6,87,6.7,2.8,C
8.1,66,4.6,2.5,B
9.4,89,8.3,4.8,A
2.7,60,6.9,1.7,C
9.3,96,4.1,3.7,A
7.8,76,8.0,5.0,B
2.4,69,6.4,1.0,C
3.5,95,8.8,3.0,C
4.0,68,6.0,0.4,C
9.8,78,4.5,0.5,B
1.7,96,4.9,3.0,C
1.6,88,4.6,1.7,C
6.9,59,4.8,2.6,B
3.7,53,6.4,0.1,C
3.4,83,8.6,2.6,C
2.3,63,9.0,4.6,C
6.2,71,8.1,3.9,B
0.4,64,6.5,3.2,C
7.1,82,8.6,3.4,A
6.0,65,8.3,3.6,B
3.6,69,8.6,4.1,C
7.9,54,7.7,0.5,B
9.7,93,7.1,2.5,A
1.8,97,5.7,1.8,C
9.6,97,7.9,2.7,A
8.1,64,4.6,2.8,B
4.4,78,5.6,3.1,C
9.3,64,4.6,1.1,B
3.9,50,4.0,0.3,C
9.5,93,9.0,3.7,A
0.1,80,5.6,1.1,C
8.0,99,8.5,1.3,A
4.4,52,5.9,1.7,C
4.1,92,5.6,1.0,C
5.0,69,6.4,1.2,C
3.5,68,4.6,3.5,C
5.3,66,6.0,0.3,B
4.9,80,7.7,3.9,C
6.9,87,7.2,3.7,B
8.1,63,6.8,4.9,B
9.9,98,5.6,4.5,A
5.7,58,7.1,4.0,B
1.5,65,5.0,1.3,C
4.8,77,8.3,3.8,C
8.5,88,5.2,0.1,A
0.9,78,6.1,0.9,C
3.4,97,5.8,0.3,C
1.7,62,8.5,1.9,C
7.4,99,8.7,2.2,A
9.2,84,7.6,0.1,A
0.3,88,7.1,2.1,C
2.4,84,6.5,4.5,C
1.2,51,7.3,1.9,C
5.0,52,5.5,2.1,C
3.7,89,7.5,1.9,C
1.0,100,9.0,3.5,C
2.9,50,8.3,3.5,C
6.2,58,8.3,3.3,B
6.2,71,8.2,0.4,B
9.5,83,8.6,4.3,A
2.5,56,7.3,3.1,C
9.6,97,5.0,3.4,A
6.9,77,4.4,3.4,B
6.2,73,7.5,0.4,B
2.5,94,8.9,0.2,C
8.8,72,4.7,1.8,B
5.1,54,4.9,1.3,B
6.5,74,7.5,3.4,B
5.3,63,6.1,2.3,B
4.8,76,6.3,3.8,C
2.6,98,5.3,4.5,C
7.7,54,4.5,0.5,B
4.1,55,6.5,0.8,C
9.5,67,7.8,1.3,B
3.5,92,6.8,2.6,C
7.9,70,6.3,0.8,B
9.7,59,5.5,0.4,B
1.2,96,7.6,3.1,C
5.1,97,9.0,3.3,B
3.5,54,8.2,1.2,C
3.3,57,4.9,1.1,C
6.9,58,5.6,3.5,B
9.0,69,7.2,2.6,B
3.5,77,8.6,0.6,C
5.8,86,5.5,0.3,B
9.5,67,8.0,4.9,B
4.0,81,7.3,1.0,C
2.0,79,5.4,4.5,C
8.1,51,8.2,0.6,B
7.8,62,6.3,0.7,B
6.2,94,8.9,0.7,B
3.6,63,7.0,0.3,C
1.9,71,5.6,3.2,C
7.3,98,7.0,3.4,A
1.7,69,7.1,0.4,C
2.1,68,5.3,4.8,C
7.2,71,8.1,4.2,B
0.3,70,4.5,4.7,C
2.8,85,5.2,3.1,C
7.9,58,6.2,0.6,B
7.7,81,7.6,1.8,A
1.7,67,8.2,4.8,C
3.5,78,6.1,1.1,C
2.5,84,8.2,3.8,C
2.4,70,6.6,2.2,C
7.6,62,5.1,1.1,B
0.0,60,6.2,1.8,C
4.1,54,8.5,4.2,C
5.2,75,7.5,3.9,B
1.8,63,7.6,3.8,C
0.7,84,5.9,4.8,C
3.5,50,5.5,4.1,C
1.1,95,5.6,2.3,C
8.1,83,8.3,0.7,A
9.3,96,6.4,4.8,A
7.1,66,4.6,4.7,B
5.0,76,5.8,1.4,C
2.7,51,7.1,3.7,C
3.9,87,8.0,0.7,C
4.3,68,4.1,4.1,C
7.3,77,7.5,4.7,B
3.8,72,4.2,1.9,C
9.5,88,5.0,4.8,A
2.8,88,6.6,0.9,C
0.5,71,4.8,2.5,C
1.9,94,7.1,4.9,C
8.9,96,6.5,2.6,A
4.4,68,5.7,1.4,C
6.5,95,8.9,3.3,B
8.1,95,8.4,0.9,A
2.2,74,6.8,0.3,C
6.8,75,9.0,1.8,B
9.9,52,7.5,2.8,B
7.8,51,7.4,2.5,B
5.6,56,4.9,1.3,B
7.2,68,8.4,0.8,B
10.0,90,5.9,0.1,A
0.9,63,6.5,4.4,C
10.0,56,6.0,2.7,B
4.8,50,8.1,3.4,C
3.6,50,6.8,0.5,C
2.2,62,7.5,2.0,C
7.0,62,4.8,0.7,B
1.9,80,4.4,0.5,C
2.4,52,8.3,0.8,C
9.8,61,4.7,4.3,B
3.2,79,8.7,2.5,C
5.8,92,5.3,0.0,B
7.9,69,5.4,4.0,B
1.9,75,5.7,0.2,C
8.9,66,8.0,1.3,B
4.1,56,6.7,0.8,C
1.1,91,4.4,0.3,C
0.2,93,6.4,1.3,C
5.7,87,8.5,0.8,B
5.6,57,7.8,0.6,B
1.4,73,4.5,3.4,C
8.9,71,6.2,4.3,B
9.2,69,6.2,4.5,B
9.9,64,4.7,2.0,B
5.4,60,6.0,4.1,B
8.4,73,7.7,0.0,B
6.5,98,7.5,0.7,B
6.9,74,6.3,3.1,B
2.2,54,8.1,1.7,C
9.7,92,8.8,2.7,A
9.5,71,7.9,0.8,B
8.4,99,5.3,1.4,A
5.6,68,8.2,0.4,B
2.8,81,7.5,4.1,C
7.1,70,4.5,1.5,B
2.5,96,8.6,2.0,C
7.8,66,4.6,2.3,B
2.8,91,8.9,4.8,C
10.0,96,8.6,3.8,A
5.4,79,6.2,3.5,B
4.6,56,8.9,3.6,C
4.9,50,4.2,1.0,C
9.8,63,5.5,0.2,B
2.3,66,7.6,1.7,C
0.7,76,4.9,4.7,C
3.8,97,4.4,1.6,C
2.4,79,4.7,0.3,C
5.1,88,7.8,4.7,B
3.6,56,5.2,0.1,C
9.9,68,6.1,4.3,B
9.3,98,5.2,4.9,A
3.9,80,8.7,4.1,C
1.1,58,4.3,3.9,C
0.5,57,8.3,0.9,C
0.6,74,7.8,3.2,C
3.8,51,5.3,2.6,C
5.2,55,6.3,4.6,B
2.4,52,7.0,4.3,C
1.4,88,8.8,1.9,C
5.9,95,8.9,2.4,B
3.7,53,5.2,1.1,C
8.7,50,8.0,3.1,B
1.9,63,6.9,0.5,C
6.8,70,5.6,0.8,B
3.7,65,7.2,2.7,C
9.2,86,5.7,3.9,A
6.8,69,7.4,4.4,B
2.1,97,4.2,1.9,C
8.6,88,8.4,2.9,A
2.3,97,4.1,3.9,C
9.8,89,5.0,0.0,A
6.2,92,8.2,4.2,B
9.9,85,5.0,1.2,A
7.2,66,7.1,2.1,B
8.3,61,7.7,4.9,B
2.8,94,5.1,4.2,C
9.9,94,8.5,0.8,A
5.8,92,4.7,4.5,B
3.1,94,7.0,1.9,C
6.9,56,7.4,3.7,B
4.8,55,8.4,1.1,C
1.4,95,4.8,1.4,C
9.6,99,7.6,3.8,A
1.2,90,5.0,5.0,C
3.7,80,4.9,3.8,C
0.2,56,4.5,2.4,C
6.4,74,6.9,3.1,B
2.1,91,7.8,0.2,C
3.9,87,6.4,1.0,C
3.7,53,5.4,3.9,C
6.5,73,5.8,2.2,B
3.1,51,6.6,3.7,C
7.0,90,7.6,0.3,B
3.6,53,5.2,2.6,C
2.7,68,8.1,1.6,C
1.2,52,4.1,1.5,C
9.6,83,4.4,0.8,A
0.3,83,4.1,3.3,C
9.3,73,6.6,4.9,B
7.2,77,6.4,2.1,B
0.3,64,4.0,3.2,C
6.7,65,7.3,2.2,B
5.9,79,8.7,1.4,B
7.7,64,8.3,4.2,B
8.0,100,5.0,0.4,A
5.4,87,5.9,3.8,B
9.9,51,8.0,0.9,B
2.7,73,8.0,1.9,C
4.8,50,4.5,4.4,C
7.5,52,4.9,2.1,B
6.2,76,5.1,2.3,B
1.6,69,9.0,4.4,C
3.7,99,8.8,1.0,C
0.9,78,8.1,0.3,C
3.0,65,4.2,2.5,C
9.6,54,6.3,1.6,B
5.8,51,7.3,4.4,B
5.7,53,4.3,0.8,B
6.4,65,5.4,1.8,B
0.9,92,7.1,1.6,C
9.6,96,5.8,3.3,A
9.7,95,4.6,0.5,A
7.4,84,4.2,0.3,A
2.0,56,6.6,4.4,C
9.5,60,5.0,0.2,B
2.0,79,8.7,3.0,C
8.7,77,6.7,0.1,B
1.7,59,6.4,0.7,C
0.9,52,7.1,3.2,C
8.7,66,4.4,2.4,B
3.3,96,6.3,4.7,C
3.3,56,5.1,0.8,C
1.5,81,8.3,0.3,C
2.1,99,8.6,1.6,C
4.8,57,5.3,4.9,C
1.1,99,7.6,5.0,C
3.5,96,8.7,1.4,C
2.8,88,6.5,1.4,C
5.1,85,5.0,2.6,B
2.0,64,7.9,2.1,C
3.2,77,8.8,0.4,C
6.4,90,4.8,1.1,B
9.2,72,5.0,4.9,B
7.2,91,5.5,3.7,A
1.2,61,8.0,2.3,C
3.5,83,4.2,1.6,C
9.2,52,8.6,4.4,B
3.2,93,6.1,2.8,C
8.4,82,4.6,5.0,A
7.3,87,4.8,4.8,A
8.2,90,4.6,2.2,A
9.2,84,6.0,4.6,A
1.3,65,5.3,0.9,C
1.8,70,5.5,1.9,C
1.7,55,8.1,1.1,C
9.6,97,8.3,2.8,A
5.1,73,5.2,4.8,B
5.8,55,6.6,4.2,B
4.4,70,8.2,2.3,C
8.9,60,6.0,1.3,B
7.8,61,6.9,3.9,B
9.8,99,7.1,3.0,A
3.2,71,4.2,2.2,C
5.5,78,6.5,4.1,B
2.5,82,7.1,4.4,C
7.7,58,4.0,2.3,B
0.2,90,6.3,4.9,C
6.4,100,7.0,0.7,B
0.5,88,5.1,1.6,C
1.4,56,5.1,4.3,C
8.5,71,5.1,1.5,B
8.7,51,8.1,2.2,B
0.5,83,5.4,4.4,C
0.3,92,8.1,3.8,C
6.0,84,6.5,2.6,B
7.5,98,7.3,3.7,A
6.1,71,4.9,2.5,B
3.4,76,8.2,0.8,C
2.2,82,6.8,1.1,C
7.7,78,5.2,3.4,B
7.8,63,7.2,4.2,B
5.1,67,5.1,3.0,B
2.5,99,7.3,2.5,C
3.5,79,7.5,1.4,C
5.7,83,6.1,3.4,B
6.1,65,8.1,4.5,B
3.9,82,8.5,2.0,C
5.5,60,6.3,3.7,B
7.4,51,5.1,3.9,B
3.9,73,6.3,2.3,C
8.1,66,8.5,3.2,B
6.2,53,5.4,3.6,B
0.1,77,5.2,1.3,C
0.4,91,6.0,3.1,C
8.3,87,5.6,3.9,A
1.5,61,8.8,4.1,C
6.3,56,5.4,3.0,B
7.8,62,5.2,0.1,B
6.1,70,4.7,0.8,B
5.5,58,5.1,4.3,B
8.8,59,7.7,3.2,B
8.4,86,4.0,3.8,A
9.4,72,8.8,4.0,B
9.0,99,5.7,2.6,A
2.5,52,4.9,0.2,C
3.8,59,5.6,0.5,C
9.0,61,7.6,0.5,B
9.9,69,6.3,0.7,B
9.3,59,6.2,2.5,B
3.4,59,4.6,3.0,C
0.9,73,8.1,1.0,C
0.7,59,6.2,0.9,C
6.7,55,5.4,0.1,B
5.3,64,5.8,1.3,B
3.8,90,6.1,2.0,C
7.5,94,4.6,2.7,A
5.0,64,6.0,1.3,C
2.5,83,8.2,1.6,C
10.0,85,8.4,4.8,A
9.6,94,4.3,4.7,A
5.4,100,7.4,3.3,B
4.6,73,4.4,4.4,C
2.7,93,6.2,2.3,C
1.3,88,6.7,0.8,C
1.0,74,5.5,4.8,C
4.2,100,5.0,1.8,C
7.3,81,5.0,1.1,A
1.8,57,5.9,3.4,C
0.2,65,8.1,0.3,C
5.9,64,6.1,4.9,B
9.1,64,8.7,0.3,B
6.5,73,4.8,1.9,B
1.4,89,8.0,3.6,C
3.3,62,7.9,5.0,C
7.6,84,7.9,4.1,A
5.1,74,6.6,2.3,B
7.3,87,5.1,3.3,A
7.3,53,5.1,1.1,B
1.6,97,7.7,1.3,C
9.3,83,5.8,2.4,A
4.2,58,8.5,2.2,C
8.4,71,4.9,1.6,B
0.1,77,4.5,1.2,C
6.8,98,7.1,2.6,B
4.7,75,7.9,1.9,C
5.2,85,7.9,2.2,B
0.4,67,8.2,3.8,C
5.6,66,5.3,2.3,B
9.4,78,8.8,0.8,B
0.6,58,4.1,2.7,C
0.8,91,4.4,2.5,C
3.1,92,5.9,4.0,C
2.2,95,7.2,2.2,C
2.3,89,8.5,3.6,C
2.3,99,5.3,0.9,C
9.2,78,6.1,3.4,B
3.5,88,5.3,0.7,C
7.8,58,8.8,4.8,B
8.7,79,6.3,2.4,B
8.0,96,8.7,1.2,A
0.1,76,6.3,3.7,C
4.5,89,5.1,4.0,C
8.1,60,8.5,0.9,B
9.6,96,8.9,3.5,A
6.5,53,6.5,3.3,B
8.7,64,8.8,4.8,B
9.0,97,6.5,0.2,A
7.0,58,8.1,0.5,B
3.9,51,5.7,2.7,C
8.3,69,8.0,2.1,B
5.8,96,7.9,4.8,B
5.6,62,8.7,2.0,B
0.8,91,7.6,3.5,C
9.6,77,6.9,0.7,B
8.1,88,4.9,5.0,A
1.4,88,8.2,1.9,C
4.1,76,5.2,1.7,C
0.5,80,7.9,2.1,C
2.0,90,4.4,1.8,C
0.1,94,6.3,4.3,C
4.7,61,5.9,4.6,C
4.2,74,6.3,1.8,C
7.4,60,7.7,2.7,B
6.3,87,8.4,2.3,B
7.4,83,7.6,3.7,A
7.7,69,5.6,3.2,B
7.1,97,6.8,4.1,A
6.0,86,5.9,0.2,B
3.4,78,7.5,3.8,C
8.8,77,7.0,3.8,B
7.0,88,6.5,1.6,B
1.5,94,6.8,2.3,C
2.6,88,5.1,4.1,C
1.3,97,7.2,1.4,C
9.9,69,5.7,3.8,B
5.9,84,9.0,2.8,B
7.5,77,5.6,3.3,B
7.5,53,6.6,0.6,B
9.5,75,8.8,4.5,B
6.6,67,4.2,2.0,B
9.2,53,6.1,0.7,B
7.3,82,6.1,0.4,A
9.3,57,5.2,3.5,B
9.2,53,7.8,4.3,B
7.5,75,8.1,3.8,B
2.1,54,4.4,2.7,C
9.0,54,8.7,0.8,B
9.8,89,6.1,3.1,A
9.6,87,5.2,3.2,A
2.2,99,6.8,2.4,C
9.7,72,5.4,3.9,B
0.8,79,5.1,1.4,C
5.3,89,8.5,3.8,B
6.9,91,8.4,3.3,B
8.6,88,5.2,1.6,A
7.0,73,4.6,3.9,B
4.6,55,8.3,1.2,C
8.1,68,4.9,0.3,B
7.8,52,6.5,0.2,B
4.2,55,4.9,1.8,C
4.9,77,8.9,3.3,C
2.4,57,6.4,1.0,C
4.3,60,8.6,0.7,C
0.9,71,4.4,3.7,C
5.8,81,7.4,3.1,B
7.5,62,5.6,2.2,B
2.2,61,7.3,3.0,C
2.7,80,6.3,0.4,C
7.4,67,5.0,3.5,B
9.7,55,7.9,1.5,B
1.6,56,4.2,3.5,C
2.6,70,8.7,1.1,C
2.7,55,8.6,3.9,C
6.6,88,8.1,3.8,B
7.6,72,8.8,0.7,B
9.5,95,5.9,4.8,A
4.2,54,4.5,4.6,C
3.6,87,8.5,2.8,C
7.9,83,8.2,1.4,A
5.9,90,8.8,3.0,B
7.5,67,4.7,2.8,B
8.1,57,8.1,4.8,B
2.5,95,4.2,4.0,C
6.5,63,7.0,4.2,B
9.7,51,5.9,3.9,B
6.0,88,7.5,0.3,B
0.9,67,7.3,1.2,C
8.9,59,5.4,3.3,B
4.6,73,5.5,0.1,C
6.4,71,5.8,3.0,B
3.5,57,4.1,3.5,C
9.6,74,7.3,2.0,B
1.4,59,5.4,0.5,C
0.1,73,4.2,2.5,C
2.4,52,7.4,2.7,C
1.4,71,5.5,2.8,C
7.1,70,9.0,0.7,B
0.9,80,6.0,1.2,C
6.9,85,7.7,3.1,B
1.5,61,6.7,0.5,C
0.9,70,8.5,3.5,C
0.8,97,8.5,1.8,C
6.1,78,4.9,2.5,B
6.5,75,6.3,1.1,B
7.6,56,5.7,2.0,B
7.8,81,5.7,4.5,A
0.5,89,8.8,3.5,C
8.3,78,7.6,0.4,B
2.2,74,4.6,4.4,C
2.9,51,6.0,3.4,C
0.7,52,8.8,2.2,C
1.9,57,7.0,1.5,C
1.9,52,8.9,4.1,C
7.5,52,6.5,0.9,B
9.7,65,6.1,4.1,B
0.3,98,5.8,1.1,C
6.1,85,6.9,0.6,B
2.8,72,7.2,3.0,C
